ID,sample_idx,ax,ay,az,gx,gy,gz
47,2,296,-444,-17168,7,-86,-48
47,3,-400,-456,-17104,-13,-151,120
47,4,20,-1432,-16780,21,-85,-1272
47,5,-252,-728,-16440,123,30,-2056
47,6,-1132,-536,-17344,163,-62,-1787
47,7,-380,-684,-17328,129,-31,-2263
47,8,-436,-496,-16616,56,-164,-1442
47,9,-924,-604,-17280,156,-25,-1104
48,0,-288,844,-17304,237,-88,-2136
48,1,2184,524,-16900,244,-254,180
48,2,620,68,-17076,11,110,-684
48,3,56,52,-17056,53,116,-234
48,4,-588,-904,-17124,187,93,251
48,5,-2472,28,-16924,151,-8,-965
48,6,-492,1144,-16868,85,33,-874
48,7,-780,2484,-17152,-98,30,-586
48,8,-136,368,-17328,217,118,2666
48,9,984,-652,-16208,168,-247,456
49,0,560,-2524,-16896,-3,90,776
49,1,-260,-552,-16988,5,-232,523
49,2,852,-3064,-16984,-100,1,1531
49,3,-76,304,-16896,182,42,-406
49,4,1108,-36,-16140,125,-135,-1374
49,5,-216,1184,-17908,106,-67,-2247
49,6,-456,-860,-16728,431,-159,-1973
49,7,-492,1264,-16716,15,4,-1942
49,8,-720,-268,-17020,264,-45,580
49,9,-768,-688,-17140,73,-60,-685
50,0,-260,-448,-17240,85,-190,-717
50,1,-220,132,-17392,27,-100,378
50,2,64,-276,-17080,203,283,635
50,3,412,-376,-16808,160,-164,884
50,4,288,-104,-16832,289,122,605
50,5,1412,484,-17172,108,-175,1399
50,6,-296,-144,-16688,35,-162,1559
50,7,1412,-100,-18036,-4,75,1575
50,8,2160,172,-17004,28,-38,916
50,9,1252,-388,-17356,90,-62,34
51,0,1364,-620,-17128,6,-179,-918
51,1,200,464,-17384,56,105,-294
51,2,-348,-196,-17360,182,15,-332
51,3,792,-236,-16264,-199,267,-145
51,4,-744,308,-17340,279,-173,-858
51,5,-244,-508,-17152,6,-87,-618
51,6,-1184,644,-17056,-173,-185,109
51,7,-848,672,-16852,-86,19,-351
51,8,-264,40,-17144,-6,219,-2951
51,9,-12,540,-16628,162,-13,-1054
52,0,200,-2848,-17560,-31,-88,1653
52,1,-576,-1492,-17032,-83,-26,-476
52,2,-1800,548,-17176,158,-256,1688
52,3,-512,-84,-17148,-213,4,-380
52,4,-352,8,-16900,-109,50,103
52,5,204,364,-17264,54,-135,1290
52,6,700,-220,-17296,157,-465,807
52,7,2300,736,-17476,57,-209,-171
52,8,1472,104,-16848,95,-148,-640
52,9,-516,1092,-17028,200,-93,1500
53,0,-792,-32,-17072,90,-83,735
53,1,1712,-4312,-16980,-93,-98,629
53,2,2452,20,-17072,-15,49,-691
53,3,1148,436,-17076,39,-27,645
53,4,504,-908,-16752,106,-68,-447
53,5,432,-876,-17048,106,-33,198
53,6,-1024,-1640,-16948,-95,49,68
53,7,124,-2220,-16376,-3,-124,-1232
53,8,180,-528,-17056,115,-91,-2709
53,9,128,-792,-15816,145,-258,-3321
54,0,-268,864,-17748,300,-140,-2180
54,1,-368,152,-16508,-93,-167,-195
54,2,680,-200,-15980,185,-83,-95
54,3,304,-188,-17388,125,-64,-183
54,4,-1084,2588,-17152,129,57,-2795
54,5,-2112,-396,-16952,-35,-16,1195
54,6,-1060,52,-16956,2,-95,-497
54,7,260,-296,-17052,-90,-155,642
54,8,676,-636,-16712,49,9,622
54,9,1000,768,-17276,77,-201,-185
55,0,304,1388,-16960,68,-110,1774
55,1,640,1040,-17176,64,-221,973
55,2,520,348,-17344,-15,234,2523
55,3,1200,-1084,-16492,-185,-81,2930
55,4,956,-1628,-17160,192,-114,158
55,5,1048,-1244,-16780,201,260,-839
55,6,556,-204,-16896,48,125,780
55,7,-300,-432,-17180,73,-147,182
55,8,-896,-1140,-16988,63,117,-1202
55,9,-1444,-748,-16992,82,-128,-514
56,0,-1296,-236,-17032,156,-90,-917
56,1,132,-284,-16972,-16,114,-90
56,2,1080,-1056,-17156,41,-112,-3060
56,3,-984,-1080,-16452,94,14,-2854
56,4,-1244,-660,-16936,297,-3,-2537
56,5,-1976,-604,-16516,75,213,-1952
56,6,-1148,144,-17096,196,-224,-397
56,7,-80,888,-17252,-7,-136,1255
56,8,380,728,-16756,112,-45,2179
56,9,604,600,-16704,366,-112,2266
57,0,1696,-616,-17132,123,-9,1392
57,1,316,76,-17072,94,-49,1321
57,2,500,-80,-17228,42,-97,1506
57,3,1460,-256,-16916,142,-140,1264
57,4,944,-80,-16920,74,-31,156
57,5,688,-576,-16876,33,-137,795
57,6,1040,-932,-16888,155,-225,146
57,7,-136,-144,-16924,243,19,134
57,8,-172,332,-16940,315,-57,431
57,9,-1500,292,-17108,113,-49,2659
58,0,-620,-1132,-17032,26,-74,-626
58,1,244,-3324,-16992,-38,78,1136
58,2,-200,-1152,-17352,130,153,-2115
58,3,-360,380,-17452,364,56,-1251
58,4,-684,-1152,-16984,91,-161,-3919
58,5,-1184,-1084,-16504,360,-146,-4230
58,6,-1436,1884,-17304,224,217,-2947
58,7,-912,1324,-17136,229,-50,-2258
58,8,356,996,-16992,181,-353,-884
58,9,688,912,-17216,28,156,-159
59,0,308,892,-16908,63,-201,1097
59,1,1592,112,-17140,142,-332,2787
59,2,792,-132,-16608,345,-135,3117
59,3,416,12,-16748,176,-62,2966
59,4,364,-1200,-16876,63,-314,4489
59,5,456,-3924,-16996,97,-129,2405
59,6,-568,-4524,-18392,-486,65,-209
59,7,608,-2488,-16376,-67,-154,-942
59,8,200,-1020,-16416,227,-64,-3426
59,9,-48,544,-17572,457,1,-3670
60,0,52,-212,-16960,103,-64,-47
60,1,88,-316,-17036,34,-5,-8
60,2,192,388,-16988,139,-83,-355
60,3,8,-288,-17184,78,-55,-106
60,4,104,-680,-16852,135,-55,177
60,5,-132,-188,-17152,74,-15,156
60,6,-172,-1264,-17100,199,-65,-12
60,7,28,-624,-16840,40,-33,32
60,8,-204,-464,-16860,120,59,285
60,9,100,-736,-17128,261,42,7
61,0,336,-332,-16428,153,171,-624
61,1,-824,136,-16928,38,-3,-725
61,2,468,-684,-16884,-47,-31,-53
61,3,-1068,-108,-16788,182,59,-407
61,4,304,-120,-16672,157,-185,444
61,5,344,184,-16780,65,55,235
61,6,240,772,-17024,47,-200,295
61,7,-208,-516,-16980,248,-41,87
61,8,140,-24,-16788,54,-39,194
61,9,408,-312,-17084,161,59,1226
62,0,24,348,-17188,135,-161,-81
62,1,-200,-132,-17120,138,-57,-195
62,2,468,20,-16912,92,-99,127
62,3,28,-604,-17084,63,-29,-27
62,4,100,-96,-16940,84,-8,-12
62,5,20,-312,-17004,133,-58,-83
62,6,48,-256,-17036,128,-69,-81
62,7,64,-396,-16948,111,-87,-122
62,8,36,-228,-17012,85,-34,-74
62,9,188,-296,-16996,116,-79,-72
63,0,148,-200,-17020,91,-50,-108
63,1,100,-392,-16964,104,-50,-114
63,2,-176,-156,-16908,141,-30,-1236
63,3,28,-992,-16964,19,-167,17
63,4,880,2248,-17112,113,-2,-374
63,5,-828,1964,-17488,71,9,-343
63,6,-416,1428,-17340,-259,-344,502
63,7,372,-284,-16872,-51,-178,2225
63,8,-1136,96,-17124,116,-176,1769
63,9,208,-1056,-17784,-16,-201,2145
64,0,252,-1628,-17340,81,-180,1718
64,1,608,-1196,-17260,122,-171,2129
